M192Q01,M406Q01,M406Q02,M423Q01,M496Q01,M496Q02,M564Q01,M564Q02,M571Q01,M603Q01,M603Q02
1,1,1,0,1,1,1,1,1,1,1
0,1,0,1,0,0,1,0,0,0,0
1,1,0,0,0,0,1,1,0,0,0
1,0,0,1,0,1,1,1,0,0,0
1,1,1,1,0,0,1,1,1,1,1
1,0,0,1,0,1,1,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0
0,1,1,1,1,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,1,1,1,1,0
0,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,1,1,1,1
0,0,0,1,1,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,1,1,0
0,1,0,1,1,1,0,1,1,0,0
0,0,0,1,0,0,0,1,1,0,0
1,1,1,1,1,1,1,0,1,0,1
1,0,0,1,1,1,1,0,0,1,1
0,0,0,1,1,1,0,1,0,1,0
0,0,0,1,1,1,0,0,1,1,1
1,1,0,1,0,0,1,1,1,0,1
0,1,0,1,0,1,1,1,0,1,1
1,0,0,1,1,1,0,0,1,1,0
1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,1,1,1
0,0,0,1,1,1,0,1,0,1,0
1,1,1,1,1,1,0,1,1,1,1
1,0,0,1,1,1,0,0,0,0,1
1,1,0,1,1,1,0,0,0,1,0
0,0,0,0,0,1,1,1,1,0,0
0,0,0,1,1,1,1,1,1,1,1
1,1,0,1,0,0,1,0,1,1,1
1,0,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,1,0,1,0
1,0,0,1,1,1,1,1,1,0,1
1,1,1,1,1,0,1,0,1,1,0
0,0,0,0,0,0,1,0,1,0,1
1,0,0,1,0,1,1,1,0,1,0
0,0,0,1,1,1,1,0,1,1,0
0,0,0,1,0,1,1,0,1,1,0
0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,0
0,0,0,1,0,0,0,0,1,1,1
1,1,1,1,1,1,1,1,1,1,0
1,0,0,0,1,1,0,0,1,0,1
0,0,0,1,0,0,0,1,0,1,1
1,0,0,1,0,1,0,1,1,0,1
1,1,0,0,1,1,1,0,1,1,1
1,1,1,1,1,1,0,1,0,0,0
0,1,1,1,1,1,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,0,1
0,0,0,1,1,1,1,1,0,0,1
0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,1,1,0,1,0
1,1,1,0,1,1,1,1,1,1,1
1,1,0,1,1,1,1,0,0,1,1
1,0,0,1,1,1,0,0,0,1,0
1,0,1,1,1,1,1,0,1,1,1
0,0,1,0,0,1,0,0,0,1,1
0,1,1,1,1,1,1,1,0,1,0
1,1,0,1,1,1,1,0,1,0,1
1,0,0,1,1,1,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,1,0,1,1
1,1,1,0,1,1,1,0,1,1,1
1,1,0,0,1,1,1,1,1,1,1
